estacion,fecha,hora,Temperature,humedad,Pressure,windspeed,winddiraction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
smooy,2023-01-08,01:00,282.56,57.18,998.9,1.39,279.19,0.0,0.0,0.0,0.0
smooy,2023-01-08,02:00,282.37,58.01,998.6,1.42,277.52,0.0,0.0,0.0,0.0
smooy,2023-01-08,03:00,282.18,58.84,998.3,1.45,275.93,0.0,0.0,0.0,0.0
smooy,2023-01-08,04:00,282.17,62.04,997.95,1.45,270.16,0.0,0.0,0.0,0.0
smooy,2023-01-08,05:00,282.16,65.24,997.61,1.47,264.45,0.0,0.0,0.0,0.0
smooy,2023-01-08,06:00,282.15,68.43,997.27,1.5,258.9,0.0,0.0,0.0,0.0
smooy,2023-01-08,07:00,283.36,67.1,997.3,1.73,248.14,0.0,0.0,0.0,0.0
smooy,2023-01-08,08:00,284.57,65.76,997.34,2.01,240.16,0.0,0.0,0.0,7.1465
smooy,2023-01-08,09:00,285.78,64.43,997.38,2.32,234.22,0.0,0.0,0.0,47.0557
smooy,2023-01-08,10:00,287.51,61.96,996.92,2.97,242.97,0.0,0.0,0.0,89.8205
smooy,2023-01-08,11:00,289.25,59.5,996.46,3.66,248.5,0.0,0.0,0.0,127.0877
smooy,2023-01-08,12:00,290.99,57.03,996.0,4.38,252.24,0.0,0.0,0.0,154.319
smooy,2023-01-08,13:00,291.46,56.33,995.4,5.57,248.38,0.0,0.0,0.0,167.3885
smooy,2023-01-08,14:00,291.94,55.63,994.8,6.78,245.88,0.0,0.0,0.0,163.0575
smooy,2023-01-08,15:00,292.41,54.92,994.2,7.99,244.14,0.0,0.0,0.0,114.8156
smooy,2023-01-08,16:00,291.49,58.63,994.32,6.88,240.95,0.0,0.0,0.0,63.7414
smooy,2023-01-08,17:00,290.57,62.34,994.44,5.81,236.54,0.0,0.0,0.0,17.4648
smooy,2023-01-08,18:00,289.65,66.05,994.56,4.78,230.18,0.0,0.0,0.0,0.0
smooy,2023-01-08,19:00,289.64,65.86,994.72,4.68,232.46,0.0,0.0,0.0,0.0
smooy,2023-01-08,20:00,289.64,65.67,994.88,4.59,234.82,0.0,0.0,0.0,0.0
smooy,2023-01-08,21:00,289.63,65.48,995.04,4.51,237.27,0.0,0.0,0.0,0.0
smooy,2023-01-08,22:00,289.59,64.61,995.04,4.59,244.32,0.0,0.0,0.0,0.0
smooy,2023-01-08,23:00,289.54,63.73,995.04,4.73,251.04,0.0,0.0,0.0,0.0
smooy,2023-01-08,00:00,289.5,62.85,995.04,4.93,257.3,0.0,0.0,0.0,0.0
